step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_1828212480_99165374_stopped,GS_cluster_1828212480_99165374_accumulated_waiting_time,GS_cluster_1828212480_99165374_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.636626193070917,0,0.0,0.5264123205430762,0,0.0
10.0,1,2.0,0.5,8.955372503229288,1,2.0,0.005748131521798696,1,2.0
15.0,2,12.0,1.7142857142857142,11.8019066753992,2,12.0,0.6169552877935404,2,12.0
20.0,3,24.0,2.6666666666666665,8.065872917494938,3,24.0,0.429803651528416,3,24.0
25.0,0,0.0,0.0,6.522148591899162,0,6.0,0.1619287092448926,0,6.0
30.0,3,12.0,1.0909090909090908,8.608596170215826,3,13.0,0.39417697606396707,3,13.0
35.0,2,17.0,1.4166666666666667,10.808060749027625,2,18.0,0.5063715297584006,2,18.0
40.0,3,29.0,2.4166666666666665,8.94277424913669,3,30.0,0.31608762503863863,3,30.0
45.0,3,30.0,2.5,9.606131458613978,3,28.0,0.43179102419293036,3,28.0
50.0,4,46.0,3.8333333333333335,6.970637219513672,4,44.0,0.016156525182343517,4,44.0
55.0,1,6.0,0.5,8.16970742003024,1,13.0,0.3630832639553201,1,13.0
60.0,3,15.0,1.1538461538461537,10.153705525101902,3,15.0,0.000744483023351375,3,15.0
65.0,3,30.0,2.5,10.310049734384053,3,30.0,3.7187842117846116e-06,3,30.0
70.0,3,45.0,4.090909090909091,8.097507379399334,3,45.0,0.28912925284626173,3,45.0
75.0,4,64.0,5.333333333333333,7.2883948326103685,4,64.0,0.3638231746722655,4,64.0
80.0,7,91.0,7.583333333333333,6.196918196179403,6,90.0,0.23382111805447048,6,90.0
85.0,7,121.0,11.0,5.3897945081689285,7,121.0,0.21245952223684114,7,121.0
90.0,8,157.0,14.272727272727273,4.864552831483312,8,157.0,0.18070311215633425,8,157.0
95.0,6,180.0,13.846153846153847,4.186436981902891,6,180.0,0.10031576840235816,6,180.0
100.0,8,216.0,14.4,6.0493951707420175,8,216.0,0.14554772036866315,8,216.0
105.0,1,1.0,0.07142857142857142,5.980798445997816,1,95.0,0.10468765897789778,1,95.0
110.0,3,6.0,0.4,9.501505169749318,3,41.0,0.0018130422852684234,3,41.0
