step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2888269153_95968367_stopped,cluster_2888269153_95968367_accumulated_waiting_time,cluster_2888269153_95968367_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
575.0,7,63.0,1.8529411764705883,7.5269564877857,5,83.0,0.08422727545966087,5,83.0
580.0,10,99.0,2.75,6.9624847557351615,6,84.0,0.08823949761919866,6,84.0
585.0,10,132.0,3.7714285714285714,7.742114903122877,6,131.0,0.15234800429781487,6,131.0
590.0,11,182.0,5.352941176470588,6.6806322444782635,7,161.0,0.2542972165569689,7,161.0
595.0,15,250.0,7.142857142857143,6.410052991795679,9,203.0,0.18186525298189324,9,203.0
600.0,17,330.0,10.3125,5.625156192137155,10,251.0,0.06941518631096624,10,251.0
605.0,17,380.0,11.515151515151516,4.941648320562426,11,304.0,1.2997600573084934e-05,11,304.0
610.0,16,447.0,12.771428571428572,5.163564979452237,11,359.0,0.06941206496014755,11,359.0
615.0,13,387.0,11.057142857142857,5.25032865946133,11,402.0,0.019665832925122795,11,402.0
620.0,12,443.0,12.657142857142857,5.814430197105345,11,457.0,0.0,11,457.0
625.0,3,102.0,2.55,7.760221737586943,3,203.0,0.2498581379811526,3,203.0
630.0,11,144.0,3.891891891891892,7.808790658447461,8,209.0,0.2228278573895587,8,209.0
635.0,9,163.0,4.527777777777778,7.013989030714246,6,270.0,0.161326366276208,6,270.0
640.0,9,186.0,5.027027027027027,7.57011543686652,9,339.0,0.11942371189167478,9,339.0
645.0,8,223.0,6.371428571428571,8.450294197135209,8,323.0,0.08946631725057237,8,323.0
650.0,10,271.0,7.527777777777778,8.039034124848335,9,366.0,0.0027860735014999583,9,366.0
655.0,11,325.0,8.333333333333334,7.66303472387656,10,415.0,0.17384070541512742,10,415.0
660.0,12,384.0,9.846153846153847,6.766154921266309,11,469.0,0.0873806574735052,11,469.0
665.0,15,455.0,11.973684210526315,5.605100560302552,14,546.0,0.11577116302706845,14,546.0
670.0,11,451.0,12.18918918918919,5.652637688491965,9,554.0,0.06196198104700507,9,554.0
675.0,12,509.0,12.725,7.177295381630723,8,564.0,0.12697304120150107,8,564.0
680.0,11,299.0,7.475,7.315994700427083,7,490.0,0.14910821415010095,7,490.0
685.0,9,102.0,2.4878048780487805,6.7393762876120995,3,342.0,0.11215861578643047,3,342.0
690.0,4,19.0,0.4634146341463415,7.960188223721738,2,391.0,0.26553751146193827,2,391.0
695.0,7,46.0,1.2105263157894737,7.363309580107402,5,439.0,0.11314476474685209,5,439.0
700.0,9,84.0,2.3333333333333335,7.305338678353678,8,481.0,0.13156990306473096,8,481.0
705.0,13,144.0,3.891891891891892,7.7936614168108935,10,531.0,0.05797303821533024,10,531.0
710.0,14,213.0,5.756756756756757,6.974657178499468,11,585.0,0.17886318403202234,11,585.0
715.0,13,233.0,5.825,6.901332003790148,9,579.0,0.1185443797788125,9,579.0
720.0,14,303.0,7.973684210526316,7.183084294800564,9,624.0,0.06391182258532688,9,624.0
725.0,13,318.0,9.085714285714285,7.250514367826103,8,657.0,0.21711052966359973,8,657.0
730.0,17,393.0,10.076923076923077,6.547045981466825,12,707.0,0.0010084888447581986,12,707.0
