step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2888269153_95968367_stopped,cluster_2888269153_95968367_accumulated_waiting_time,cluster_2888269153_95968367_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.798278799111214,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.280325655133765,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.057891851461047,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,13.047374726514398,0,0.0,0.9653048177787302,0,0.0
25.0,0,0.0,0.0,12.043018649722288,0,0.0,0.7739372848109101,0,0.0
30.0,0,0.0,0.0,9.70415849676686,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,11.70554294095618,0,0.0,0.4551356620859611,0,0.0
40.0,1,2.0,0.13333333333333333,11.533333598985505,1,2.0,0.4576727609343802,1,2.0
45.0,0,0.0,0.0,9.584781383691919,0,0.0,0.4899651365930553,0,0.0
50.0,2,9.0,0.5294117647058824,9.591143506582164,1,4.0,0.4663345622328585,1,4.0
55.0,4,25.0,1.25,8.763331052943089,3,15.0,0.2071644154385516,3,15.0
60.0,7,53.0,2.409090909090909,7.263843943637528,5,36.0,0.10978936056108816,5,36.0
65.0,7,66.0,3.142857142857143,7.67868220990981,7,66.0,1.7051511012375078e-05,7,66.0
70.0,7,101.0,5.05,8.319411727828513,7,101.0,0.08190784617116113,7,101.0
75.0,5,100.0,4.545454545454546,6.980645531810077,5,119.0,0.17817138215704886,5,119.0
80.0,5,110.0,5.0,7.9036102855515935,5,116.0,0.04503846661251508,5,116.0
85.0,8,137.0,6.2272727272727275,6.843078817720584,7,140.0,0.01084596386525425,7,140.0
90.0,8,174.0,7.25,6.170019350444687,8,180.0,0.25692730923362767,8,180.0
95.0,7,46.0,1.7037037037037037,6.027786303624051,5,41.0,0.07830860316480191,5,41.0
100.0,5,63.0,2.25,8.519302263573493,5,66.0,0.0,5,66.0
105.0,0,0.0,0.0,11.791955068801196,0,47.0,0.4815293752951811,0,47.0
110.0,1,2.0,0.06896551724137931,11.089824788588906,1,12.0,0.4790169253050182,1,12.0
115.0,2,3.0,0.10714285714285714,9.750018862055711,1,7.0,0.3529133223317936,1,7.0
120.0,2,13.0,0.52,8.727629344541135,1,11.0,0.19136005808195436,1,11.0
125.0,3,17.0,0.6538461538461539,10.275593968947232,3,22.0,0.31447744473837447,3,22.0
130.0,4,35.0,1.4,10.060266717489037,4,44.0,0.15010721858469936,4,44.0
135.0,6,64.0,2.4615384615384617,8.479632599322148,6,79.0,0.18244132696096838,6,79.0
140.0,8,98.0,4.083333333333333,6.310385023521185,8,113.0,0.08829093896881164,8,113.0
145.0,7,78.0,3.25,7.374064835367316,6,103.0,0.03496219707497301,6,103.0
150.0,6,99.0,4.125,8.30044182218254,5,107.0,0.1901021821810273,5,107.0
155.0,8,134.0,5.36,6.393931490551762,5,131.0,0.14006430691477323,5,131.0
160.0,8,167.0,6.423076923076923,7.341146525405095,7,164.0,0.13682893201419585,7,164.0
165.0,9,209.0,8.708333333333334,7.531981182626867,8,197.0,0.13673633963942286,8,197.0
170.0,10,237.0,9.115384615384615,7.558926130603861,10,246.0,0.16357327636786081,10,246.0
175.0,11,288.0,9.931034482758621,7.126273957293627,11,306.0,0.1798248356188044,11,306.0
180.0,15,352.0,12.137931034482758,5.4217708255510635,15,387.0,0.10053078399400356,15,387.0
185.0,8,124.0,4.0,6.604098152131218,8,286.0,0.18355028380840738,8,286.0
190.0,7,152.0,4.75,8.136104987002746,7,147.0,0.19397164709621925,7,147.0
195.0,10,194.0,6.689655172413793,7.415211571780329,10,189.0,0.11649119399163695,10,189.0
200.0,10,165.0,6.346153846153846,5.751933342539339,9,190.0,0.08071656678249095,9,190.0
205.0,11,209.0,7.206896551724138,7.718622184673388,11,195.0,0.0561683442872451,11,195.0
210.0,12,266.0,9.5,6.139123790427619,12,252.0,0.08126719079798479,12,252.0
215.0,12,321.0,11.88888888888889,5.5132159462309165,12,310.0,0.018208603599372587,12,310.0
220.0,13,370.0,12.758620689655173,6.143976972127089,13,366.0,0.08305181612643638,13,366.0
225.0,16,444.0,14.32258064516129,6.555435765457909,15,435.0,0.025689788518788937,15,435.0
230.0,15,515.0,16.612903225806452,5.410468521139548,15,503.0,0.1373883879371394,15,503.0
235.0,17,586.0,18.903225806451612,5.279345887738771,17,580.0,0.07073531915739328,17,580.0
240.0,19,678.0,22.6,4.317585737289144,19,672.0,0.052368297386886614,19,672.0
245.0,21,779.0,23.606060606060606,4.265101636307728,21,773.0,0.0005524095304630037,21,773.0
250.0,23,889.0,25.4,3.1793725590876747,23,883.0,0.04132258512931342,23,883.0
255.0,22,964.0,26.054054054054053,4.140530608259765,22,958.0,0.08253430603432489,22,958.0
260.0,22,1074.0,27.53846153846154,5.15606460535786,22,1068.0,0.047840828730816264,22,1068.0
265.0,23,1186.0,30.41025641025641,5.004190179960077,23,1180.0,0.011242471302522757,23,1180.0
270.0,26,1314.0,33.69230769230769,4.142358312438718,26,1308.0,0.03139706068085462,26,1308.0
275.0,12,335.0,8.170731707317072,5.298100181297135,12,922.0,0.09923077360107835,12,922.0
280.0,7,43.0,1.048780487804878,7.231475355769431,5,371.0,0.20304398951858252,5,371.0
285.0,10,87.0,2.175,10.087374292152045,8,86.0,0.12947343773190506,8,86.0
290.0,11,121.0,3.025,9.800322957435025,6,102.0,0.02886941738967604,6,102.0
295.0,5,24.0,0.6153846153846154,8.36097576960977,0,57.0,0.24033392470195075,0,57.0
300.0,7,58.0,1.4871794871794872,8.850317076505501,1,21.0,0.28139919220591325,1,21.0
305.0,3,45.0,1.2857142857142858,10.514615708438498,0,0.0,0.619366048158665,0,0.0
310.0,5,30.0,1.0,9.15970844335546,2,4.0,0.0606953498727808,2,4.0
315.0,6,45.0,1.4516129032258065,8.796046223871592,1,19.0,0.4942932400535158,1,19.0
320.0,2,22.0,0.7096774193548387,9.353891348120257,1,41.0,0.4775737018078125,1,41.0
325.0,2,21.0,0.7,10.405919146152048,2,34.0,0.3314510692268669,2,34.0
330.0,2,31.0,1.1481481481481481,12.218182527779973,2,72.0,0.40514255156993606,2,72.0
335.0,2,9.0,0.36,9.625925000237773,1,63.0,0.3208118965393479,1,63.0
340.0,3,14.0,0.5384615384615384,8.134602792589664,3,45.0,0.12495631387923292,3,45.0
345.0,4,20.0,0.9090909090909091,8.509645609262499,3,51.0,0.17839849454510537,3,51.0
350.0,3,31.0,1.4761904761904763,10.312028761060606,3,62.0,0.23983463949265793,3,62.0
355.0,3,46.0,1.9166666666666667,9.750352097825264,3,81.0,0.3086100440527445,3,81.0
360.0,6,71.0,2.84,7.714246420882375,6,106.0,0.08300373757140782,6,106.0
365.0,9,111.0,4.625,7.074369783663525,9,146.0,0.0007880883173541825,9,146.0
370.0,7,135.0,5.1923076923076925,6.23168290933458,7,177.0,0.08339254383895574,7,177.0
375.0,9,177.0,6.555555555555555,7.080887352128831,9,208.0,0.030401888744799536,9,208.0
380.0,2,11.0,0.4230769230769231,8.193973048389488,2,75.0,0.25917262506504124,2,75.0
385.0,4,30.0,1.1538461538461537,9.868770586974941,4,30.0,0.3067545522909501,4,30.0
390.0,5,38.0,1.4615384615384615,9.974345440208108,4,34.0,0.2335564287704245,4,34.0
395.0,6,66.0,2.64,8.628019610972446,5,58.0,0.22312257211355224,5,58.0
400.0,7,86.0,3.44,8.918135213461305,7,88.0,0.08652088463934969,7,88.0
405.0,8,124.0,4.769230769230769,6.4545133415801335,8,126.0,0.03980750182988323,8,126.0
410.0,7,156.0,5.777777777777778,7.907473710844848,7,158.0,0.23636040949661472,7,158.0
415.0,9,199.0,7.37037037037037,7.322288105763445,9,213.0,0.11341392393733069,9,213.0
420.0,5,80.0,2.6666666666666665,7.802249474598511,5,170.0,0.02691189776065194,5,170.0
425.0,4,79.0,2.5483870967741935,9.233457483995284,4,114.0,0.3413045259171636,4,114.0
430.0,2,5.0,0.1724137931034483,9.833585809765598,1,37.0,0.49102430939231734,1,37.0
435.0,3,20.0,0.6451612903225806,9.766797532973344,2,35.0,0.29871852656307557,2,35.0
440.0,6,40.0,1.2121212121212122,10.093814731797254,5,50.0,0.13290275178692162,5,50.0
445.0,9,78.0,2.689655172413793,7.384571179338336,7,82.0,0.0809341327757844,7,82.0
450.0,7,80.0,2.6666666666666665,7.301284784677434,7,104.0,0.09268576240795905,7,104.0
455.0,8,116.0,4.64,5.752268660847927,7,139.0,0.011062748323046755,7,139.0
460.0,6,126.0,4.846153846153846,7.504915528049491,6,150.0,0.09155123014056898,6,150.0
465.0,6,156.0,6.24,8.69146250452698,6,183.0,0.2304677219320486,6,183.0
470.0,9,194.0,7.76,8.19016948151667,9,223.0,0.31361834028521857,9,223.0
475.0,13,248.0,9.185185185185185,5.807282676671169,13,278.0,0.13784811944849795,13,278.0
480.0,17,326.0,11.642857142857142,3.432550224851851,16,351.0,0.06091618809599372,16,351.0
485.0,15,372.0,12.0,5.03256621943495,14,407.0,0.02143228623183204,14,407.0
490.0,15,442.0,15.785714285714286,5.303256298823305,14,456.0,0.01642346904469885,14,456.0
495.0,15,508.0,17.517241379310345,5.430254173745039,14,517.0,0.0492735668435045,14,517.0
500.0,16,584.0,21.62962962962963,4.139966982583075,15,588.0,4.362144012722769e-06,15,588.0
505.0,16,653.0,22.517241379310345,4.800069647712735,14,646.0,0.007995911819201475,14,646.0
510.0,17,736.0,25.379310344827587,4.376648038165194,15,715.0,1.1072708468253962e-05,15,715.0
515.0,16,806.0,26.0,5.433352827739637,15,790.0,0.06212248626446617,15,790.0
520.0,16,886.0,27.6875,5.927126923199399,15,865.0,0.04366124701770954,15,865.0
525.0,18,971.0,29.424242424242426,5.5278698053743724,17,945.0,0.07796465136904415,17,945.0
530.0,18,1061.0,32.15151515151515,5.747222641481464,17,1030.0,0.053965176778969434,17,1030.0
535.0,16,1035.0,29.571428571428573,5.618778638944083,15,1009.0,0.0431028584876148,15,1009.0
540.0,18,1121.0,31.13888888888889,6.3870774445031815,16,1088.0,0.031342761782932875,16,1088.0
545.0,21,1220.0,32.972972972972975,5.746794384271033,18,1174.0,0.05004210565311697,18,1174.0
550.0,21,1325.0,37.857142857142854,3.547664396607879,18,1264.0,0.022412285148894835,18,1264.0
555.0,25,1442.0,42.411764705882355,3.1441136740116,20,1363.0,0.046428295002256655,20,1363.0
560.0,23,1533.0,45.088235294117645,3.6955571087881034,19,1452.0,0.04898126154459713,19,1452.0
565.0,23,1648.0,45.77777777777778,4.291137158655793,19,1547.0,0.04894452042554926,19,1547.0
570.0,12,451.0,12.18918918918919,5.141157709752247,8,1070.0,0.14611805326967134,8,1070.0
575.0,8,117.0,3.1621621621621623,7.021599405193728,7,507.0,0.17564992843789273,7,507.0
580.0,10,52.0,1.4444444444444444,6.348966288786908,10,612.0,0.041413272843428585,10,612.0
585.0,13,74.0,2.0,6.274559990179429,11,600.0,0.08850929532177419,11,600.0
590.0,12,88.0,2.4444444444444446,6.092175042422779,9,630.0,0.04178837784889965,9,630.0
595.0,15,148.0,4.484848484848484,6.219342410700613,14,692.0,0.06347298258266479,14,692.0
600.0,16,224.0,7.0,6.544672111271236,14,762.0,0.0,14,762.0
605.0,14,260.0,8.387096774193548,5.677215359876915,12,810.0,0.16465863010070272,12,810.0
610.0,14,317.0,9.90625,5.604564978165879,12,819.0,0.10271003428087358,12,819.0
